timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid
1713786077138,200,83,1.82373046875E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077138,200,-833,-1.830322265625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077138,200,1029,2.260986328125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077138,200,1674,3.6782226562500004E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077139,200,768,1.6875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077139,200,-1703,-3.741943359375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077139,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077139,200,-1242,-2.72900390625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077139,200,202,4.4384765625000004E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077139,200,1622,3.56396484375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077140,200,612,1.3447265625000002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077140,200,-753,-1.6545410156250002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077140,200,169,3.7133789062499996E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077140,200,1879,4.128662109375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077140,200,1398,3.07177734375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077141,200,-1020,-2.2412109375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077141,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077197,200,-1891,-4.1550292968750005E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077197,200,-370,-8.1298828125E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077198,200,1224,2.6894531250000003E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077203,200,1140,2.5048828125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077204,200,-841,-1.847900390625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077205,200,-149,-3.27392578125E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077205,200,1594,3.50244140625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077205,200,1875,4.119873046875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077205,200,-341,-7.492675781250002E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077205,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077206,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077206,200,-745,-1.636962890625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077206,200,1108,2.4345703125000002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077206,200,1260,2.7685546875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077206,200,-365,-8.02001953125E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077206,200,-817,-1.7951660156250002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077207,200,1104,2.42578125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077207,200,1900,4.1748046875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077207,200,619,1.360107421875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077207,200,-1741,-3.8254394531250004E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077207,200,-2048,-4.5E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077208,200,-1347,-2.959716796875E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077208,200,624,1.37109375E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077208,200,1652,3.6298828125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077208,200,240,5.2734375E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077266,200,-762,-1.6743164062500002E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077267,200,243,5.33935546875E-5,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077267,200,1865,4.097900390625E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
1713786077271,200,1293,2.841064453125E-4,0,0,0,247672,327803,667154,50155,40438,94170,74748,274048
